name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Drive Them Wild,"Our Drive Them Wild Fragrance is inspired by Hollywood actress, dancer and legendary beauty Dolores del Rio. Blood orange, red mandarin, osmanthus and orange blossom dance around a chypre heart, with vanilla, tonka and cocoa absolutes spiced with black pepper.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21077053/1080x1080.png?1718297934,4160 Tuesdays,"[""florals there is an animalic -"", ""a tad dirty - tone that is very alluring..."", ""sexy.\""-servusfragrance""]",[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1685351-Drive-Them-Wild.html
Ealing Green,"The scent of a midsummer night in Ealing, Queen of the Suburbs: cut grass, roses, geraniums, lavender, thyme, honeysuckle and cool earth. This is the fragrance of a picnic in the park which lasts until sunset.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/1/3/21134169/1080x1080.png?1722522215,4160 Tuesdays,"[""cut grass"", ""rose"", ""thyme""]","[""geranium"", ""lavender"", ""violet""]","[""patchouli"", ""earth"", ""oakmoss""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476604-Ealing-Green.html
Eau My Soul,"This fragrance was created to capture the feeling of a reassuringly warm hug in scent, with an amber base, sandalwood and bergamot. Eau My Soul also features rose, incense, orris, tobacco and neroli softened with soft musk.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21077531/1080x1080.png?1718364899,4160 Tuesdays,"[""bergamot"", ""frankincense"", ""honey""]","[""rose"", ""sandalwood"", ""orris"", ""cognac & more""]","[""tobacco"", ""myrrh"", ""musks"", ""vanilla & more""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476606-Eau-My-Soul.html
Faerie Queen,"Faerie Queen is the fifth collaboration between ÇaFleureBon and 4160Tuesdays. It is a fragrance celebrating the queen in all of us, beguiling but benevolent. Queen of the Fairies was always the rose, which takes flight here partnered by a powdery iris accord and sparkling citruses.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21077855/1080x1080.png?1718379196,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1828319-Faerie-Queen.html
Figs in White Chocolate,The greenery of unfermented tea leaves overlaps with the aroma of freshly picked figs.,https://sites.create-cdn.net/siteimages/21/4/7/214764/21/3/8/21387376/1080x1080.png?1740416440,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1836744-Figs-in-White-Chocolate.html
Fluffy Lemon Top,"This fragrance isn’t that fluffy and we didn’t make it with lemon; its citrus fruit arrival comes from orange, tangerine and bergamot essential oils. Its scent reminded us of the happiness we get from eating a lemon top ice cream at the seaside on a summer day, so the name just happened.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21077717/1080x1080.png?1718373604,4160 Tuesdays,"[""sweet orange"", ""tangerine"", ""bergamot""]","[""orris"", ""narcissus"", ""chocolate""]","[""moss"", ""tonka"", ""vanilla"", ""musk""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1661878-Fluffy-Lemon-Top.html
Freeway,"This is the fragrance of LA freeways after the oil runs out: flowers, birds, bicycles and picnic areas.It's the aroma of a freeway when the space has become a wildlife haven, with orange groves and white flowers. There are solar cars and bicycles, picnic tables and humming birds. Like everywhere in LA there's the background scent of cooking sugar.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21077741/1080x1080.png?1718374321,4160 Tuesdays,"[""orange groves"", ""gasoline""]","[""jasmine"", ""lilies"", ""palm flowers""]","[""hot tyres (tires)"", ""waffles with ice cream.""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1484248-Freeway.html
Freshly Laundered,"The aroma of clean laundry dried by a summer breeze, in a cottage garden with a perfect lawn and fragrant flower beds. This fragrance is made from molecular musks and sumptuous synthetics; originally created for an Olympic gymnast and seen on Piccadilly Lights.Freshly Laundered has made it to our retirement sale, so once it's gone, it’s gone for good.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21077806/1080x1080.png?1718376439,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1785425-Freshly-Laundered.html
Fruits of the Tree of Knowledge,"A rich fruity fragrance that smells like cherry jam.If all the world’s fruits grew on one tree and you made it into jam, it would smell like this: plums, cherries, raspberries, peaches, tangerines, grapefruit and a bonus cantaloupe melon - surrounded by sandalwood, roses and violets.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/7/21077906/1080x1080.png?1718382479,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476944-Fruits-of-the-Tree-of-Knowledge.html
Ginger Snap,"Our tingly hot favourite, recently released.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/3/8/21387422/1080x1080.png?1740417045,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1836747-Ginger-Snap.html
Hammersmith Tea & Biscuits,"Wholemeal lemon and ginger biscuits, with toasted hazelnuts and black tea, with oat milk. A fragrance created to symbolise the British way of making friends and getting through a crisis.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21080635/1080x1080.png?1718636417,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1751600-Hammersmith-Tea-Biscuits.html
Honey Jasmine Karma,"A fragrance that bringsa bright harmony of jasmine, Karmawood and our own honey aroma blend, which we make without bothering a single bee. A sustainable scent with the power to bring sunshine to dull days with its cheerful aroma.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21080661/1080x1080.png?1718637214,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1803868-Honey-Jasmine-Karma.html
Hush Hush,"A fragrance inspired by the idea of a secret 1920s party: iris, violet and musk, a paper cigarette packet with a hint of silk stocking & rose petals.",,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1827861-Hush-Hush-Eau-de-Toilette.html
Le Bain de McBain,"This fragrance is made using a luxurious blend of flowers, herbs, citrus fruits and (animal friendly) musk & ambergris, in the style of an early 19th Century eau de toilette.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/3/8/21387168/1080x1080.png?1740409430,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1826697-Le-Bain-de-McBain.html
Lemon Sherbet,A bright light sparky citrus scent to drag us out of the grey days of winter into shiny spring! Lemon Sherbet is a fragrance with the tanginess of citrus fruits and the softness of musk and vanilla.,https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21081758/1080x1080.png?1718718635,4160 Tuesdays,"[""lemon"", ""orange"", ""grapefruit"", ""lime""]","[""marshmallow"", ""bergamot""]","[""vanilla"", ""musk""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476635-Lemon-Sherbet.html
London 1969,"Our London 1969 fragrance captures the feeling of the city in the Summer of Love. We use only materials which were available at the time, to create a fragrance that could have existed then.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21081777/1080x1080.png?1718719306,4160 Tuesdays,"[""orange"", ""lemongrass"", ""grapefruit"", ""mandarin"", ""cedrat""]","[""moroccan cedarwood"", ""sandalwood"", ""incense"", ""lavender"", ""violet""]","[""indian patchouli"", ""labdanum"", ""musk""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476625-London-1969.html
Maxed Out,"The scent of a wild night out in New York, 2003. It's a fragrance built on woods, musks and vanilla, seasoned with hemp.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21081838/1080x1080.png?1718720286,4160 Tuesdays,"[""lime"", ""coconut"", ""rum""]","[""tobacco"", ""cannabis"", ""olive"", ""woods""]","[""black pepper"", ""vintage musks"", ""cumin"", ""coffee""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476630-Maxed-Out.html
Meet Me On The Corner,"Named after the Lindisfarne song, our 70s-inspired citrus chypre features clementine, bergamot and lemon with magnolia flowers on an oakmoss base. This fragrance evokes times before mobile phones, when we would fix a time, and turn up -  in our best denim flares, cheesecloth shirts and citrus chypres.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21081948/1080x1080.png?1718721181,4160 Tuesdays,"[""lemon"", ""mandarin"", ""mandora"", ""clementine""]","[""magnolia flowers"", ""magnolia leaves"", ""sandalwood"", ""bergamot""]","[""oakmoss"", ""musks"", ""patchouli"", ""styrax""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1591588-Meet-Me-On-The-Corner.html
Midnight in the Palace Garden,"Our wonderful extrait strength scent of a midnight tryst. Three kinds of cedarwood, sandalwood, coffee, vanilla, blood orange, davana - an artemesia which smells like mulled wine - jasmine, neroli and frangipani.",,4160 Tuesdays,"[""blood orange"", ""davana"", ""geranium""]","[""cedarwood"", ""sandalwood"", ""white flowers""]","[""vanilla"", ""opoponax"", ""labdanum""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476631-Midnight-in-the-Palace-Garden.html
Mother Nature’s Naughty Daughters,"Here we’re celebrating nature’s rich harvest by using many of perfumery’s beautiful but restricted materials; rose, broom, cedarmoss, raspberry, strawberry and opoponax, plus safe synthetics Hedione and Maltol. Deliciously naughty.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21082037/1080x1080.png?1718722685,4160 Tuesdays,"[""pear"", ""hazelnut"", ""bergamot""]","[""rose"", ""broom"", ""strawberry"", ""blackcurrant"", ""raspberry""]","[""cedarmoss"", ""opoponax"", ""malt""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476633-Mother-Natures-Naughty-Daughters.html
No Mow May,"In the UK during May everyone is encouraged to let wildflowers grow to feed new generations of wildlife; grass grows, flowers feed the insects which feed the birds, and seeds spread for the future - the scent of green leaves, hay, honeyed rose and fruity amber.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/5/1/21510263/1000x1000.png?1749807096,4160 Tuesdays,"[""orange"", ""privet"", ""fresh fruit""]","[""rose"", ""hay"", ""tonka""]","[""patchouli"", ""labdanum"", ""amber woods""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1836922-No-Mow-May.html
Oakmossery,"A fragrance for all who seek the aroma of elegant, dry, unapologetic mid-20th Century chypres. Cistus, jasmine and Atlas cedar give it a touch of wildness, while rose, amyris and bergamot keep it safely tamed.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21082086/1080x1080.png?1718723228,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1751674-Oakmossery.html
Over the Chocolate Shop,"The fragrance of a rich chocolate aroma wafting upstairs as the chocolatiers make a fresh batch of darkly delicious pralines. Melting cocoa butter, a dash of coffee, hazelnut extract and a drop of vanilla absolute.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21082136/1080x1080.png?1718724426,4160 Tuesdays,"[""chocolate"", ""coffee""]","[""hazelnut""]","[""vanilla""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1506421-Over-the-Chocolate-Shop.html
Paris 1948,"A classic vintage floral, peach, woody scent. A fragrance inspired by the great French chypres of the 1940s.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21082226/1080x1080.png?1718725357,4160 Tuesdays,"[""peach"", ""grapefruit"", ""basil""]","[""rose"", ""cedarwood"", ""orange blossom"", ""rosewood"", ""honey""]","[""oakmoss"", ""hay"", ""musk"", ""labdanum""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476679-Paris-1948.html
Pillow Talk,"Pillow Talk is not your usual floral amber fragrance: pink peppercorns, yuzu, jasmine & sandalwood.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21085946/1080x1080.png?1718978596,4160 Tuesdays,"[""orange flower"", ""pink peppercorn"", ""yuzu""]","[""jasmine"", ""ylang ylang"", ""black pepper"", ""bergamot""]","[""sandalwood"", ""vanilla"", ""amber""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476958-Pillow-Talk.html
Pirate Queen,"The fragrance of rum, leather, spices, coffee, tobacco, sea water and well-scrubbed wooden decks. Pirate Queen is 4160Tuesdays X Çafleurebon fourth Queen collaboration.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21062873/1080x1080.png?1717166080,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1835805-Pirate-Queen.html
Rhubarb and Custard 1:29,"The Rhubarb & Custard fragrance we all dreamed of. Rhubarb, grapefruit and lemon, bergamot and biscuits, vanilla, hay and tobacco; A pudding in a perfume.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21086014/1080x1080.png?1718980235,4160 Tuesdays,"[""rhubarb"", ""grapefruit"", ""lemon""]","[""bergamot"", ""biscuits""]","[""vanilla"", ""hay"", ""tobacco""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476902-Rhubarb-and-Custard-129.html
Rosa Ribes,"Rosa Ribes is a blackcurrant, rose chypre fragrance with citrus fruits, moss, myrrh and musk, Sarah’s own personal perfume.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21086068/1080x1080.png?1718981328,4160 Tuesdays,"[""grapefruit"", ""mandarin""]","[""rose"", ""blackcurrant""]","[""opoponax"", ""patchouli"", ""chypre"", ""musk""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476907-Rosa-Ribes.html
Salt Rose,"A fragrance inspired by the meeting of fresh water and salt water, where strong-spirited wild roses grow among crushed shells and driftwood.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21063023/1080x1080.png?1717168826,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1805676-Salt-Rose.html
Saltburn Driftwood,"Saltburn Driftwood is a fragrance inspired by Saltburn, a small town at the very top right-hand corner of Yorkshire where Sarah was born. Smell driftwood, sea-spray, rock pools and yesterday’s campfire.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21086207/1080x1080.png?1718983925,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1751679-Saltburn-Driftwood.html
Shazam!,"The scent of a magic carpet flying over the Medina in Marrakech, the soukh and the buzzing city square. It is the spiced amber fragrance of our dreams: black and pink pepper, frankincense, labdanum, vanilla and freshly squeezed oranges.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/8/21086255/1080x1080.png?1718985302,4160 Tuesdays,"[""basil"", ""tangerine"", ""juniperberry""]","[""atlas cedarwood"", ""pink peppercorn"", ""cardamom"", ""frankincense""]","[""amber"", ""patchouli"", ""cocoa absolute""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476913-Shazam.html
Skin,"A revelation, the aroma of warm skin unveiled as we peel away flounces of lace, layers of shiny satin and smooth velvet. Five sensuous musks surround an intriguing heart of honeybush, everlasting flower, rice, cacao and beeswax. A skin scent in every sense.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/5/1/21516354/1080x1080.png?1750259499,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1839044-Skin.html
Sleep Knot,"A cosy warm calming fragrance, featuring sandalwood, ylang ylang, black pepper and jasmine – traditional Eastern aphrodisiacs",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/9/21093723/1080x1080.png?1719485177,4160 Tuesdays,"[""bergamot"", ""black pepper""]","[""jasmine"", ""ylang ylang"", ""sandalwood""]","[""amber"", ""musk""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1476917-Sleep-Knot.html
Sonnet No.1,"This is our fragrant flowers from Shakespeare scent.It was first made for the inaugural Barnes Fragrance Fair. To Sonnet No.1's ""beauty's rose"" we added lavender, narcissus, beeswax and hay absolutes, and evoke the aromas of lily and violet. It floats on a bed of white musks.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21067074/1080x1080.png?1717579560,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1824555-Sonnet-No1.html
Sparkles,"Imagine the aroma of twinkling diamante, lustrous pearls and sparkling sequins. If they had a fragrance, this would be it. A flash of shining aldehydes, neroli and bergamot illuminates a refreshing spring scent of mock orange blossom. A perfume to put you centre stage and place you in the spotlight.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/5/1/21516361/1080x1080.png?1750259622,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1839045-Sparkles.html
Take Me To The River,"Take Me To The River captures the sensuality of a relationship that's going nowhere, but is way too much fun to give up just yet. It's a fragrace inspired by Talking Heads' live 1980 version which you can watchonlineif you're interested.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/9/21093770/1080x1080.png?1719486444,4160 Tuesdays,"[""rum"", ""rose"", ""wine""]","[""patchouli"", ""beeswax"", ""tobacco""]","[""musk"", ""amber"", ""leather""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1619704-Take-Me-To-The-River.html
Tempest Rose,"House of Burlesque X 4160Tuesdays - be more showgirl! A celebration of confidence, empowerment, and pure entertainment, captured and bottled.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/3/8/21388491/1080x1080.png?1740481992,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1839043-Tempest-Rose.html
Temptation,"Everyone can wear it. You can use it on its own, or add it to a lighter, flighty fragrance to help it last longer and waft further. It’s gorgeous.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/9/21093816/1080x1080.png?1719487629,4160 Tuesdays,"[""musk""]","[""musk""]","[""amber"", ""white woods"", ""musk"", ""vanilla""]",https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1661912-Temptation.html
The Big Smoke,"The Big Smoke is set in 1950s London and immerses you a mysterious film noire. It's a dry, smoked woody amber, rich with tobacco, vetiver, and smidge of smoky white birch.",https://sites.create-cdn.net/siteimages/21/4/7/214764/21/0/6/21066463/1080x1080.png?1717510233,4160 Tuesdays,[],[],[],https://www.4160tuesdays.com/4160tuesdaysscentshop/cat_1817443-The-Big-Smoke.html
