name,description,image,perfumeHouse,openNotes,heartNotes,baseNotes,detailURL
Purple Accento,"Presenting Purple Accento, the much loved fresh and fruity oriental  scent.
This perfume is beautifully dressed in extravagant purple crystals, the perfect appearance to introduce the blend guarded within.Opening with Mediterranean fruits and citrus notes that help to revel the elegance on first impact.The well orchestrated opera of naturally distilled flowers firmly stands out after a few seconds from the first spray, conveying to the skin an intense and rich style reminiscent of glorious times. The base notes proudly support the whole pyramid with amber, musk, vanilla and oud for a long lasting exclusive dream.",https://www.xerjoff.com/3674-large_default/purple-accento-.jpg,Xerjoff,[],[],"[""welcome""]",https://www.xerjoff.com/xerjoff-vibe-collection/9697-purple-accento--8033488156404.html
Xxy,"The true beauty of XXY lies in its unique, androgynous character.. Inspired by the notion of a feminine and masculine divide, this fruity floral scent is delicately sprinkled with warm spices, for an intriguing and unconventional perfume.. Top notes of Calabrian bergamot and grapefruit lead to a precious heart of ylang-ylang and black pepper..",https://www.xerjoff.com/3491-large_default/xxyparfum-100ml.jpg,Xerjoff,"[""grapefruit"", ""peach""]","[""florentine iris"", ""jasmine"", ""ylang-ylang""]","[""haitian vetiver"", ""musks"", ""mysore sandalwood"", ""patchouli"", ""vanilla""]",https://www.xerjoff.com/1717-stone-label/387-xxyparfum-100ml-8033488155469.html
Coexistence,CoExistence is the perfume created in honour of The Great Elephant Migration.. A captivating hand-sculpted herd of elephants migrate through America with an inspiring story of coexistence between all living beings.. Part of the proceeds of this Spray to Help perfume will go to the cause..,https://www.xerjoff.com/4303-large_default/coexistence-eau-de-parfum-50ml.jpg,Xerjoff,"[""bergamot""]","[""jasmine"", ""osmanthus""]","[""cambodian oud"", ""vanilla""]",https://www.xerjoff.com/spray-to-help/9783-coexistence-eau-de-parfum-50ml.html
Alexandria Ii,"Sensual and seductive, the Alexandria II Body Cream dresses the skin in a luxuriously rich shroud of splendour, indulging the body in a unique, rich experience like no other.
A scent steeped in history and culture, Alexandria II Body Cream embellishes the body with the enticing notes of Alexandria II, allowing your signature scent to    linger for longer, all the while keeping the skin supple and sumptuously hydrated.",https://www.xerjoff.com/3386-large_default/alexandria-iibody-cream-200ml.jpg,Xerjoff,"[""apple"", ""cinnamon"", ""rose wood lavender""]","[""cedar wood""]","[""amber"", ""laotian ouds"", ""musk"", ""sandalwood"", ""vanilla""]",https://www.xerjoff.com/oud-stars/191-alexandria-iibody-cream-200ml-8033488156046.html
Discovery Set I - Xerjoff,"“Happiness is the perfect balance between love and perfume.”
A remarkable Xerjoff perfume selection for a sparkling sweet and fruity voyage towards happiness.
Thanks to the new Xerjoff Discovery Sets, each one composed of three 15ml flacons, you can indulge in a piece of the Xerjoff Universe, selecting which perfume suits your mood each day.
CRUZ DEL SUR II - ERBA PURA - UDEN OVERDOSE",https://www.xerjoff.com/3127-large_default/discovery-set-cruz-del-sur-erba-pura-uden-overdose.jpg,Xerjoff,[],[],"[""welcome""]",https://www.xerjoff.com/xerjoff-discovery-set/9671-discovery-set-cruz-del-sur-erba-pura-uden-overdose.html
Vintaclub,"Step into the club.. Pepper and Patchouli dance beside the warming notes of Amber, Cashmere Wood and Musk, emiting an ambiance imbued with class and nobility.. The VintaClub scented candle from Xerjoff evokes memories of private members’ clubs reminiscent of nineteenth century British subculture..",https://www.xerjoff.com/4459-large_default/vintaclub-candle-200gr.jpg,Xerjoff,"[""amber"", ""ebony"", ""leather"", ""pepper""]","[""beeswax"", ""cashmere wood"", ""cedarwood"", ""sandalwood""]","[""cistus labdanium"", ""musk"", ""patchouli""]",https://www.xerjoff.com/scented-candles-limoges-collection/10016-vintaclub-candle-200gr-8054320901518.html
Al-Khatt,"Discover Al-Khatt, a sensual invitation to a far-off land.. Crafted by Xerjoff's master perfumers using traditional pure oud distillation, Al-Khatt takes its name from the ancient 'Travels of Ibn Battuta' manuscript.. Opening with fresh Italian bergamot and jasmine sambac, this scent has a heart of cashmere accords for a truly seductive take on traditional Arab perfume making..",https://www.xerjoff.com/3285-large_default/al-khattparfum-50ml.jpg,Xerjoff,"[""italian bergamot"", ""jasmine sambac""]",[],"[""bangladesh oud"", ""laotian benzoin"", ""oud assam"", ""vanilla""]",https://www.xerjoff.com/oud-stars/181-al-khattparfum-50ml-8033488153458.html
Torino23,"A scent synonymous with the centuries-old sport for Xerjoff’s third year as Silver Partner for the Nitto ATP Finals in Turin.. Timeless and traditional, TORINO23 evokes the class and sophistication that lies at the heart of tennis.. TORINO23 awakens the senses with a fresh hit of bergamot, which settles as delicate hues of rose and cardamom combine in the top notes..",https://www.xerjoff.com/4744-large_default/torino23-eau-de-parfum-15ml.jpg,Xerjoff,"[""bergamot"", ""cardamom"", ""nutmeg"", ""rose""]","[""jasmine"", ""neroli"", ""tuberose"", ""ylang-ylang""]","[""amber"", ""cashmere wood"", ""cedarwood"", ""musk"", ""patchouli""]",https://www.xerjoff.com/nitto-atp-finals-torino/10439-torino23-eau-de-parfum-15ml.html
Alexandria Ii,"Alexandria II opens with its sublime lavender, rosewood, cinnamon and rare fruity accords.
A touch of rose in the backbone of Alexandria II enriches the lavender and deepens the rosewood.
The Laotian oud brings a celestial meaning to this aromatic woody aura and echoes the excellent vanilla amber base.",https://www.xerjoff.com/4815-large_default/alexandria-ii-15ml.jpg,Xerjoff,"[""apple"", ""cinnamon"", ""rose wood lavender""]","[""cedar wood""]","[""amber"", ""laotian ouds"", ""musk"", ""sandalwood"", ""vanilla""]",https://www.xerjoff.com/xj-oud/10468-alexandria-ii-15ml.html
Lira,"Mysterious and provocative, Lira Casamorati makes a striking statement.. Simple and understated, it packs a punch that is hard to resist.. Fresh bergamot and blood orange top notes lead the nose to a classic heart of rose, jasmine and liquorice blossom..",https://www.xerjoff.com/4096-large_default/lira-eau-de-parfum-100ml.jpg,Xerjoff,"[""blood orange lavender flowers"", ""bergamot""]","[""cinnamon"", ""jasmine"", ""rose""]","[""caramel"", ""musks"", ""vanilla""]",https://www.xerjoff.com/casamorati/377-lira-eau-de-parfum-100ml.html
Levar Del Sole,"With the new dawn arises new hope.. Levar del Sole poeticises on the skin.. Literally translated as “rising of the sun”, Levar del Sole is the perfume inspired by the immortal phoenix..",https://www.xerjoff.com/4983-large_default/levar-del-sole-eau-de-parfum-100ml.jpg,Xerjoff,"[""lemon"", ""rose"", ""apple"", ""bergamot"", ""orange""]","[""cardamom"", ""jasmine"", ""lily"", ""violet""]","[""caramel"", ""musk"", ""oakmoss"", ""patchouli"", ""tonka bean"", ""benzoin""]",https://www.xerjoff.com/casamorati/10533-levar-del-sole-eau-de-parfum-100ml.html
Kobe,"The intense power of Kobe captivates all who experience it.. Opening with exquisite citrus top notes of bergamot, it leads to an equally enchanting heart of neroli, petit grain and orange flowers.. Defined by a citrus aromatic olfactory direction, this captivating scent has a warm base of amber, musks and tonka..",https://www.xerjoff.com/3553-large_default/kobeparfum-50ml.jpg,Xerjoff,"[""spanish cistus labdanum""]","[""neroli"", ""orange flowers"", ""paraguays petitgrain""]","[""amber"", ""fava tonka"", ""musks"", ""palisanderwood""]",https://www.xerjoff.com/shooting-stars/266-kobeparfum-50ml-8033488151539.html
King Masarat,"Potent lavender, licorice, and blood orange compose the aromatic opening, all subdued to the glory of Egyptian jasmine and the rose of Isparta.
The jovial aromatic floral theme mingles with the bountiful mukhallat of Cambodian, Thai and Borneo oud woods that exude with the resinous effects of oud trees.",https://www.xerjoff.com/5160-large_default/king-masar-atattar-oil-15ml.jpg,Xerjoff,"[""blood orange"", ""lavender flowers""]","[""egyptian jasmine"", ""liquorice"", ""thai oud"", ""turkish rose""]","[""cambodian oud"", ""vanilla bourbon""]",https://www.xerjoff.com/xj-oud/196-king-masar-atattar-oil-15ml-8033488152635.html
Alexandria Ii Anniversary,The essence of a masterpiece.. Alexandria II Anniversary is emblematic of the complexity and triumph of Alexandria and Alexandria II from the Oud Stars Collection.. A unique creation that honours the conception and significance of the two prestigious perfumes..,https://www.xerjoff.com/4829-large_default/alexandria-anniversary.jpg,Xerjoff,"[""bulgarian rose"", ""cardamom"", ""cumin"", ""lavender""]","[""amber"", ""civet"", ""clary sage"", ""cypriol"", ""mint"", ""tarakan oud"", ""tuscan orris"", ""wormwood""]","[""australian sandalwood"", ""musk""]",https://www.xerjoff.com/oud-stars/10489-alexandria-anniversary.html
Erba Gold,"Xerjoff is proud to announce the captivating scent, Erba Gold, is now available worldwide.
With a fresh new look on the outside and the same exquisite contents on the inside, Erba Gold opens to citrusy top notes of lemon from Amalfi, Brazilian orange and ginger, specked with a spicy heart of cardamom from Guatemala and cinnamon which makes way for an enticingly warm base of white musk, amber and Madagascan vanilla.
Erba Gold is presented with a unique silk neck scarf designed by Xerjoff and produced by famous silk manufacturers in Lake Como.",https://www.xerjoff.com/4681-large_default/erba-gold-eau-de-parfum-50ml.jpg,Xerjoff,"[""amalfi lemon"", ""brazilian orange"", ""calabrian bergamot"", ""ginger""]","[""cloves"", ""green apple"", ""guatemalan cardamom"", ""madagascar cinnamon"", ""melon"", ""pear""]","[""amber"", ""madagascan vanilla"", ""musk""]",https://www.xerjoff.com/xerjoff-vibe-collection/10372-erba-gold-eau-de-parfum-50ml.html
Uden,"Uden Xerjoff hits the nose like a surging wave, with sea spray and a bright marine breeze bringing the senses to life.. Hitting top notes of zesty lemon and grapefruit, the citrus character of this fougère  scent travels to a bright heart of rose, sandalwood and rum.. Charmingly spirited and playful, base notes of vanilla, coffee and musk ignite to create a powerful presence..",https://www.xerjoff.com/3595-large_default/udenparfum-50ml.jpg,Xerjoff,"[""grapefruit"", ""lemon""]","[""guaiac wood"", ""rhum absolute"", ""rose"", ""sandalwood""]","[""coffee absolute"", ""musks"", ""vanilla absolute""]",https://www.xerjoff.com/shooting-stars/170-udenparfum-50ml-8033488151522.html
Silkygreen,"Greet guests with the sophistication of SilkyGreen.. A garden party to remember: gallant notes of green grass linger among the spicier scents that drift from the kitchen, while glasses clink and laughter fills the air.. Sweetly scented flowers intertwine with the guests’ perfume, as the senses settle in a place of contentment and cosiness..",https://www.xerjoff.com/4475-large_default/silkygreen-candle-200gr.jpg,Xerjoff,"[""cardamom"", ""green"", ""hyacinth"", ""iris""]","[""cotton flower"", ""jasmine"", ""sandalwood"", ""violet""]","[""musk"", ""patchouli"", ""vanilla"", ""vetiver""]",https://www.xerjoff.com/scented-candles-limoges-collection/10018-silkygreen-candle-200gr-8054320901549.html
Renaissance,"Authentically Italian in heart, body and soul, Renaissance Xerjoff is a sparkling bouquet of fruity accords.. Inspired by our rich heritage and an homage to the glamour of our home country.. Renaissance represents the inspiring character of Italy, opening with fresh top notes of Calabrian bergamot, mandarin and lemon..",https://www.xerjoff.com/3144-large_default/renaissance-eau-de-parfum-100ml.jpg,Xerjoff,"[""calabrian bergamot"", ""lemon"", ""mandarin"", ""petitgrain bigarade""]","[""bulgarian rose"", ""mint""]","[""amber"", ""cedar wood"", ""musk"", ""patchouli""]",https://www.xerjoff.com/xerjoff-1861-collection/200-renaissance-eau-de-parfum-100ml.html
Muse,"Muse is an ode to sensuality.. Fruity and floral, this parfum is a mysterious character and master of its own destiny.. Muse opens to an intoxicating white floral bouquet and leads the nose to a heart of labdanum and jasmine and a sweet, rich base of raspberries and patchouli..",https://www.xerjoff.com/4850-large_default/muse-eau-de-parfum-100ml.jpg,Xerjoff,"[""leather accord"", ""plum"", ""white flowers bouquet""]","[""davana"", ""jasmine"", ""labdanum""]","[""patchouli"", ""amber"", ""benzoin"", ""raspberries""]",https://www.xerjoff.com/xerjoff-vibe-collection/10502-muse-eau-de-parfum-100ml.html
Damarose,"The intoxicating floral scent of Damarose has a seductive power like no other.. Opening with fresh lemon and bergamot, the true star of this scent lies at the heart, with an exquisite blend of Damascus rose absolute and Bulgarian rose dancing across the skin.. A base of sandalwood, patchouli and vetiver offers a comforting warmth that grounds the floral notes..",https://www.xerjoff.com/3408-large_default/damaroseparfum-50ml.jpg,Xerjoff,"[""bergamot"", ""freesia"", ""lemon"", ""red berries""]","[""bulgarian rose"", ""damascus rose absolute"", ""florentine iris""]","[""amber"", ""musks"", ""patchouli"", ""rosewood"", ""sandalwood"", ""vanilla"", ""vetiver""]",https://www.xerjoff.com/1717-stone-label/248-damaroseparfum-50ml-8033488155537.html
Dama Bianca,"Dama Bianca makes an appearance in Duran Duran's Black Moonlight music video, taken from their new album Danse Macabre.. Chosen for her vintage aura, Dama Bianca features among the timeless glamour and vintage flair of the Victorian era in this music video directed by Jonas Åkerlund.. When you purchase a Dama Bianca perfume, you'll find a unique QR code which will allow you to access exclusive behind-the-scenes content of Sergio Momo with Duran Duran along with the official Black Moonlight music video..",https://www.xerjoff.com/3765-large_default/dama-biancaeau-de-parfum-100ml.jpg,Xerjoff,[],"[""egyptian jasmine""]","[""cedarwood"", ""white musk""]",https://www.xerjoff.com/dama-bianca/378-dama-biancaeau-de-parfum-100ml-8033488151652.html
Holysm,"Holysm takes its name from the holistic belief that the universe and living nature are interconnected, existing as a whole.
A sensual and strikingly beautiful scent, Holysm’s aromatic top notes of clary sage, thyme and fir balsam invigorate and regenerate, leading to rich nuances of tobacco, cedarwood and labdanum absolute.
Patchouli, oud and sandalwood carry the perfume to a seductive base of rich warmth.",https://www.xerjoff.com/4520-large_default/holysm-parfum-50ml.jpg,Xerjoff,"[""cade oil"", ""clary sage"", ""fir balsam"", ""thyme""]","[""caraway"", ""cedarwood"", ""labdanum absolute"", ""tobacco""]","[""patchouli"", ""sandalwood""]",https://www.xerjoff.com/k-blue/10137-holysm-parfum-50ml.html
More Than Words,"The Join the Club collection of Xerjoff perfumes represents a series of exclusive clubs, from art and poetry to yachting and golf.
In keeping with the rare nature of these scents, ingredients are kept a closely guarded secret, instead inviting the wearer to immerse themselves in the imagined world.
More Than Words Xerjoff imagines a secret club of writers and poets, inspired by literature and the power of the written word; their creativity is bound only by the paper they write on.",https://www.xerjoff.com/3268-large_default/more-than-wordseau-de-parfum-100ml.jpg,Xerjoff,[],[],"[""welcome""]",https://www.xerjoff.com/jtc-join-the-club/396-more-than-wordseau-de-parfum-100ml-8033488155131.html
Modoc,"Immediately evocative of a luxuriously decadent dressing table, Modoc is characterised by a woody aromatic character.
Opening with zesty lemon and orange, a heart of orange flowers exudes a light yet warming spirit while the feathery powder base of vetiver, vanilla absolute and amber feels suitably opulent.
This perfume is presented in a crystal flacon and enthroned in a leather box embedded with a fragment of meteorite.",https://www.xerjoff.com/3563-large_default/modoc-parfum-50ml.jpg,Xerjoff,[],"[""vanilla absolute vetiver""]",[],https://www.xerjoff.com/shooting-stars/265-modoc-parfum-50ml-8033488151515.html
Quattro Pizzi,"The story of a Sicilian dynasty that has known glory, wealth and power.. Quattro Pizzi, the most iconic palace that was home to Palermo’s most symbolic and prominent families.. A perfume reminiscent of the Belle Époque era, where love, beauty and nobility entwine with secrecy and sin..",https://www.xerjoff.com/4932-large_default/quattro-pizzi-eau-de-parfum-100ml.jpg,Xerjoff,"[""coriander"", ""davana"", ""pink pepper"", ""rum""]","[""coconut"", ""tuberose""]","[""blonde leaf tobacco"", ""hay"", ""tonka bean""]",https://www.xerjoff.com/casamorati/10526-quattro-pizzi-eau-de-parfum-100ml.html
Torino22,"A scent whose performance thrills and exhilarates the wearer both on and off the court, Xerjoff presents TORINO22, the invigorating perfume created to celebrate the most significant tournament for the second year running in Turin.
Powerful in spirit, TORINO22 mirrors the high-octane pace of the court yet remains crisp and clean in character.
In keeping with the rare nature of these scents, ingredients are kept a closely guarded secret, instead inviting the wearer to immerse themselves in the imagined world.",https://www.xerjoff.com/5135-large_default/torino22-eau-de-parfum-50ml-xerjoff.jpg,Xerjoff,[],[],"[""welcome""]",https://www.xerjoff.com/jtc-join-the-club/10555-torino22-eau-de-parfum-50ml-xerjoff.html
Torino22,"A scent whose performance thrills and exhilarates the wearer both on and off the court, Xerjoff presents TORINO22, the invigorating perfume created to celebrate the Nitto ATP Finals for the second year running in Turin.
Opening with green notes of bergamot and eucalyptus, TORINO22 leads to a heart of clary sage, and closes with a warm base of musk and dry woods.
Powerful in spirit, TORINO22 mirrors the high-octane pace of the court yet remains crisp and clean in character.",https://www.xerjoff.com/4422-large_default/torino22-eau-de-parfum-15ml.jpg,Xerjoff,"[""eucalyptus"", ""saffron"", ""bergamot""]","[""clary sage"", ""guaiac wood"", ""mate""]","[""dry woods"", ""musk""]",https://www.xerjoff.com/xerjoff-15ml/9971-torino22-eau-de-parfum-15ml-8054320901860.html
Quattro Pizzi,"Quattro Pizzi takes the wearer to a summer in the south of Italy.. Reminiscent of the Belle Époque era, the scent tells a story where love, beauty and nobility entwine with secrecy and sin.. A juxtaposition of sweet and spicy hits the senses on first spray with rum, davana and pink pepper, where the intoxicating notes of tuberose enchant and seduce at the heart, a sensual scent that lingers like a lover's forbidden touch on the skin long after the sun goes down..",https://www.xerjoff.com/4938-large_default/quattro-pizzi-eau-de-parfum-30ml.jpg,Xerjoff,"[""coriander"", ""davana"", ""pink pepper"", ""rum""]","[""coconut"", ""tuberose""]","[""blonde leaf tobacco"", ""hay"", ""tonka bean""]",https://www.xerjoff.com/casamorati/10527-quattro-pizzi-eau-de-parfum-30ml.html
1888,"Truly classic and timelessly elegant, 1888 Casamorati is a scent experience like no other.. Spicy oriental in character, this perfume serves as a sensual souvenir from a bygone era and is inherently Italian in spirit.. Opening with fresh green pepper and precious Iranian saffron, the exotic heart of Indonesian ylang-ylang and Moroccan neroli tempts and seduces..",https://www.xerjoff.com/3748-large_default/1888eau-de-parfum-100-ml.jpg,Xerjoff,"[""green pepper"", ""cloves"", ""coriander""]","[""ylang ylang""]","[""amber"", ""mysore sandalwood"", ""patchouli""]",https://www.xerjoff.com/1888/379-1888eau-de-parfum-100-ml-8033488153267.html
Soprano,"Soprano takes the ancestral lore of perfumery to a new dimension.. Oriental and floral in character, it features Calabrian bergamot and freesia top notes with an extraordinary heart of Bulgarian rose and Osmanthus.. Agarwood and patchouli at the base entice the nose in deeper..",https://www.xerjoff.com/4886-large_default/soprano-eau-de-parfum-50ml.jpg,Xerjoff,"[""calabrian bergamot"", ""fresia"", ""fruity accord"", ""litchi""]","[""bulgarian rose"", ""egyptian jasmine"", ""milky accord"", ""osmanthus""]","[""patchouli"", ""agarwood""]",https://www.xerjoff.com/xerjoff-vibe-collection/10519-soprano-eau-de-parfum-50ml.html
Hair Spray Gran Ballo,"The essence comes in a hydroalcoholic siliconized solution to be sprayed on hair stems. Thanks to Panthenol (Vitamin B5), an excellent natural ingredient with body-enhancing properties and conditioning effects on hair keratin, this product rests on the stem as a soft, light and silky film, making the perfume last longer and giving the hair softness, lightness, shine and volume.",https://www.xerjoff.com/3795-large_default/gran-ballohair-spray-.jpg,Xerjoff,[],[],"[""welcome""]",https://www.xerjoff.com/gran-ballo/297-gran-ballohair-spray--8033488155834.html
Kemi,"Taking its name from the ancient word for Egypt, Kemi is inspired by the same country.
Home to the most legendary sorcerers, ancient Egypt is at the heart of this scent.
Enigmatic in spirit with a gourmand character, this rich and magical fragrance blends soft caramel and cedar wood with rare Laotian oud and vanilla.",https://www.xerjoff.com/4555-large_default/kemi-parfum-50ml.jpg,Xerjoff,[],"[""castoreum"", ""civet"", ""gurjum balsam""]","[""australian sandalwood""]",https://www.xerjoff.com/k-collection/10130-kemi-parfum-50ml.html
Lua,"Fresh, fruity and irresistible, Lua takes its name from a meteorite that showered over India in 1926.. Oriental in spirit with a delectable gourmand combination, it hits top notes of bergamot, orange and melon.. The nose is led to a heart of lily of the valley, Bulgarian rose, iris and rose pepper for a truly mesmerising accord..",https://www.xerjoff.com/3558-large_default/luaparfum-50ml.jpg,Xerjoff,"[""bergamot"", ""melon"", ""orange""]","[""bulgarian rose"", ""iris"", ""rose pepper""]","[""cedar wood"", ""musk"", ""patchouli"", ""vanilla""]",https://www.xerjoff.com/shooting-stars/173-luaparfum-50ml-8033488151942.html
Aurum,"Best described as the olfactory equivalent of gold, Aurum is as decadent as its name sake.
Irresistibly romantic and seductive, tempting rose, chocolate and strawberry all conjure the most sensual notes.
Like the most precious metal from which it takes its name, Aurum captivates and entices as it warms against the skin, revealing hints of its opulent character as time goes by.",https://www.xerjoff.com/4580-large_default/aurum-parfum-50ml.jpg,Xerjoff,"[""bergamot reggio calabria"", ""brazilian orange"", ""bulgarian rose"", ""lemon""]","[""chocolate"", ""cistus"", ""labdanum"", ""strawberry""]","[""heliotropine"", ""oakmoss"", ""oud""]",https://www.xerjoff.com/k-collection/10123-aurum-parfum-50ml.html
Symphonium,"A scent which intriguingly evokes mystery with rows of delectable notes beside a warm aura of extravagant woodiness.. Symphonium unveils piquant Spanish mandarin and mouth-watering orange juice.. Heart-melting and evocative like a poem, Symphonium sings like a chorus of divine voices..",https://www.xerjoff.com/3480-large_default/symphonium-50ml.jpg,Xerjoff,"[""spanish mandarin orange""]",[],"[""musk""]",https://www.xerjoff.com/1717-stone-label/9729-symphonium-50ml-8054320900252.html
Ouverture,"Few scents have the romantic charm of Ouverture.. Floral and fruity, this irresistible scent is a rare and precious journey that sets the senses alight.. Classic magnolia and fruity fig leaves open and lead the way for a heart of Bulgarian rose and ylang-ylang..",https://www.xerjoff.com/4921-large_default/ouverture-eau-de-parfum-100ml.jpg,Xerjoff,"[""fig leaves"", ""magnolia"", ""orange""]","[""bulgarian rose cinnamon"", ""indian jasmine"", ""ylang-ylang""]","[""amber"", ""sandalwood"", ""vanilla incense""]",https://www.xerjoff.com/xerjoff-vibe-collection/10524-ouverture-eau-de-parfum-100ml.html
